iter	Passed	Remaining
960	11449	464
961	11460	452
962	11471	440
963	11484	428
964	11495	416
965	11507	405
966	11519	393
967	11528	381
968	11538	369
969	11548	357
970	11561	345
971	11573	333
972	11581	321
973	11592	309
974	11605	297
975	11614	285
976	11626	273
977	11636	261
978	11646	249
979	11657	237
980	11670	226
981	11680	214
982	11691	202
983	11703	190
984	11714	178
985	11724	166
986	11736	154
987	11748	142
988	11759	130
989	11772	118
990	11783	107
991	11794	95
992	11808	83
993	11819	71
994	11828	59
995	11840	47
996	11851	35
997	11864	23
998	11875	11
999	11888	0
